title,transaction_type,deposit,monthly_rent,area_sqm,floor,total_floors,households,built_year,region_gu,region_dong,description
래미안목동아델리체,전세,45000,0,84.98,15,25,1500,2020,양천구,목동,올수리 깔끔한 매물 즉시입주 가능
목동센트럴파크,전세,42000,0,84.5,10,20,800,2015,양천구,목동,역세권 주차편리
마곡엠밸리,전세,48000,0,84.0,8,15,2000,2022,강서구,마곡동,신축 대단지 주차 1.5대
발산역아이파크,전세,38000,0,84.0,5,25,1200,2018,강서구,등촌동,역세권 5분 관리 잘됨
목동현대하이페리온,전세,52000,0,84.0,20,30,900,2010,양천구,목동,급매 협의가능
당산센트레빌,전세,41000,0,79.0,12,18,600,2008,영등포구,당산동,역세권 도보3분 현상태 인도
여의도자이,전세,55000,0,84.0,25,35,1100,2019,영등포구,여의도동,한강뷰 프리미엄
신정뉴타운래미안,전세,39000,0,84.0,7,22,1800,2021,양천구,신정동,대단지 학군우수
가양역롯데캐슬,전세,36000,0,74.0,3,20,1400,2017,강서구,가양동,역세권 보증보험가능
화곡동우성,전세,28000,0,59.0,4,15,400,1998,강서구,화곡동,소형 저렴 1층 주의
